AUTHOR,TITLE,WORDS#,the,and,of,that,to,unto,in,it,for,be,which,a,not,came,pass,behold,all,this,now,with,yea,should,by,as,upon,but,also,from,there,because,these,therefore,when,if,even,into,would,forth
NEPHI,2_Nephi_31,961,89,47,18,53,8,13,16,4,17,8,8,3,8,2,9,5,7,9,0,11,14,0,0,5,0,17,1,2,0,0,1,1,1,2,2,1,3,1,4,21,8,27,16,6,6,2,0,14,16,5,4
LEHI,2_Nephi_1_Lehi,1505,66,45,11,45,9,15,15,9,27,4,8,9,7,8,10,8,3,19,3,1,14,0,2,7,1,7,7,3,0,0,3,1,11,10,5,10,9,0,5,13,21,19,15,5,9,0,0,10,4,4,5
LEHI,2_Nephi_2_Lehi,1444,79,54,24,43,3,21,5,6,21,18,0,6,0,5,13,2,1,17,2,0,16,0,0,3,2,13,2,2,0,0,5,4,5,15,2,1,6,0,15,13,8,4,5,2,2,0,0,11,4,4,8
LEHI,2_Nephi_3_Lehi,1121,81,43,15,72,1,15,19,5,12,1,5,5,2,5,14,3,0,18,1,4,10,0,0,11,0,6,17,1,0,0,0,0,1,2,8,8,5,1,0,36,36,0,19,4,5,0,3,14,5,1,1
ISAIAH,1_Nephi_20_isaiah,663,73,57,12,34,0,6,15,6,10,6,9,22,1,12,15,1,0,1,4,6,13,0,0,6,1,18,12,3,1,0,3,1,16,12,0,24,22,3,4,10,3,10,15,12,4,1,0,1,6,0,4
ISAIAH,1_Nephi_21_isaiah,914,66,55,20,36,0,16,22,1,22,4,0,6,10,6,15,3,0,22,4,15,9,0,0,4,1,10,12,1,3,2,0,0,9,13,7,8,6,0,7,3,32,4,22,2,6,0,6,0,2,0,7
ISAIAH,2_Nephi_15_16_Isaiah,1192,72,83,6,38,1,15,6,15,17,9,3,5,10,10,10,6,0,20,4,3,10,1,0,2,0,5,8,0,0,0,1,1,3,13,20,9,5,1,1,9,28,1,6,1,3,0,4,0,0,0,2
ISAIAH,2_Nephi_17_19_Isaiah,1805,88,74,17,48,1,18,2,14,14,14,5,11,8,13,18,6,1,17,3,3,7,0,0,3,0,3,5,1,1,1,0,0,3,9,3,6,11,0,7,8,40,6,2,0,2,0,7,1,1,0,3
JACOB,2_Nephi_9_Jacob,2339,74,56,17,50,4,9,9,8,26,13,2,7,3,10,16,5,6,14,2,1,10,0,0,4,0,8,4,0,1,0,0,1,6,18,8,7,7,0,9,17,14,6,9,4,5,1,0,8,3,2,9
JACOB,2_Nephi_10_Jacob,943,76,41,12,44,3,10,7,8,29,3,8,5,1,2,19,5,1,26,3,9,7,0,1,4,1,9,16,0,1,0,0,0,7,16,12,11,5,0,6,22,26,5,7,1,5,0,0,5,4,2,18
JACOB,Jacob_1,1326,73,50,19,64,24,12,13,5,19,3,10,8,6,4,15,4,17,3,3,9,5,0,0,2,0,18,3,0,0,0,0,3,2,6,5,6,8,0,4,22,8,19,13,3,7,0,9,13,1,3,5
JACOB,Jacob_3_4,1520,60,53,14,49,8,15,6,11,23,7,7,11,5,13,12,8,10,9,3,0,3,0,0,5,2,5,7,3,0,0,1,2,3,15,17,9,11,0,3,16,5,11,6,0,8,2,3,11,5,0,10
JACOB,Jacob_5,3635,102,69,19,37,0,11,9,30,34,3,8,5,3,5,8,2,0,6,1,5,3,1,1,1,0,18,9,3,0,0,6,0,2,9,1,7,5,2,5,18,6,3,9,1,11,9,0,7,0,0,3
MORMON,Alma_1,1488,69,61,40,43,0,14,0,12,20,0,8,12,8,8,10,4,0,6,2,0,15,0,1,8,4,2,0,18,2,0,8,14,1,24,13,6,12,14,10,5,0,0,0,4,1,5,13,4,6,2,0
MORMON,Alma_2,1426,95,64,35,49,0,9,0,13,26,0,4,2,22,10,3,2,0,5,3,0,14,0,1,2,2,3,0,9,4,0,4,14,1,19,16,14,2,14,4,0,0,0,0,3,2,11,14,4,6,1,1
MORMON,Alma_15_16,1708,96,73,25,53,0,17,0,7,18,0,2,5,4,15,5,1,0,5,3,0,9,0,1,6,0,1,1,7,4,0,9,14,2,17,11,8,5,8,10,11,0,0,0,2,2,7,12,5,5,2,0
MORMON,Alma_36_alma,1165,52,60,22,53,3,16,30,4,21,2,3,10,10,7,12,7,0,12,14,9,10,1,3,2,0,12,3,11,1,0,6,3,6,2,7,6,10,9,4,12,6,9,30,16,10,2,1,5,6,1,0
MORMON,Alma_43,2208,109,64,24,53,0,11,0,9,23,0,1,5,7,7,7,1,0,2,4,0,9,0,0,0,2,0,0,9,7,0,4,19,3,28,37,10,5,5,4,5,1,1,0,6,2,9,4,4,9,2,0
MORMON,Alma_52,1744,76,55,32,47,1,13,0,13,27,0,0,7,9,16,4,4,1,0,4,0,18,0,0,4,1,0,1,10,6,0,18,12,1,19,18,13,7,4,4,5,0,0,0,2,6,10,2,5,8,5,0
MORMON,3_Nephi_1,1330,87,54,42,36,0,18,2,21,33,2,6,6,0,6,11,3,2,12,5,0,3,0,1,0,0,2,1,15,1,0,13,15,3,17,10,3,6,13,8,10,1,0,2,4,6,15,10,13,6,0,0
MORMON,3_Nephi_3_4,2848,77,69,23,43,5,20,1,11,23,0,9,4,6,3,8,3,5,4,4,0,6,0,2,0,1,1,3,11,2,0,10,11,4,24,25,15,4,16,8,9,3,6,1,2,3,6,5,8,5,1,0
MORMON,3_Nephi_28_29,1373,77,48,19,48,2,9,0,10,33,2,3,18,3,9,9,5,0,9,5,1,10,0,0,4,5,4,5,5,0,0,2,18,2,29,5,21,18,8,6,21,14,10,0,4,8,2,5,9,8,2,2
MORMON,4_Nephi,2015,73,92,26,44,0,22,0,17,16,1,3,3,2,4,1,3,0,3,3,0,3,0,0,0,0,0,0,5,0,0,14,22,5,22,9,10,3,25,10,4,0,0,0,4,0,10,11,6,2,0,0
MORMON,Helaman_2_3,2113,95,76,31,57,0,24,0,15,19,2,7,2,3,6,1,4,0,3,1,0,11,0,0,2,0,3,1,13,0,0,7,8,2,12,15,1,2,16,6,8,1,0,0,7,4,9,10,10,5,1,1
MORMON,Helaman_11,1538,85,78,28,42,0,24,1,16,27,0,11,3,2,1,2,3,0,5,3,0,1,0,1,1,0,3,1,5,1,3,3,7,3,25,13,6,3,26,5,11,0,0,1,4,3,10,13,3,5,1,0
MORMON,Helman_1,1405,92,56,29,46,0,14,0,11,31,0,3,7,12,8,7,7,0,5,3,0,24,0,2,3,0,0,0,21,3,0,13,12,0,17,8,9,7,19,5,4,0,0,0,1,7,9,12,0,5,1,2
MORMON,Mormon 1_2,1921,87,80,30,48,0,13,8,17,26,0,5,5,9,1,5,6,0,5,4,4,2,0,0,1,0,3,0,14,1,0,8,7,2,11,14,10,5,25,6,9,2,4,8,1,5,15,8,5,2,3,1
MORMON,Mormon_3_4,1734,90,71,34,40,3,13,4,15,27,2,8,5,4,0,4,2,1,7,2,4,0,0,1,0,1,2,1,6,0,0,15,5,4,23,17,13,5,25,8,13,5,5,4,1,4,12,6,6,7,2,0
MORMON,Mormon_6_7,1349,73,69,25,45,6,14,14,15,25,3,5,4,18,5,2,2,7,8,0,4,8,0,2,2,0,3,2,4,1,0,14,8,2,5,6,5,4,7,5,13,3,27,14,2,7,7,11,11,8,2,9
MORMON,Moroni_1_6,951,82,55,38,52,2,14,3,10,15,0,4,11,6,7,6,4,1,9,7,1,6,0,1,4,6,7,3,5,3,0,6,13,0,35,11,17,11,7,3,13,5,6,3,0,3,1,3,6,7,0,2
MORMON,Moroni_7,1890,50,46,21,44,8,14,8,12,23,23,5,8,6,6,17,2,1,12,5,2,21,0,1,9,3,14,4,0,1,0,1,2,3,6,2,2,8,1,7,22,11,19,8,0,8,0,1,14,8,1,7
MORMON,Mosiah_7_Limhi,1829,60,67,32,46,2,15,4,8,27,5,8,7,6,12,8,3,2,6,1,0,16,0,1,4,5,7,5,9,2,0,10,6,2,21,9,8,7,6,7,3,3,5,4,1,6,6,10,7,1,1,5
MORMON,Mosiah_11,1244,53,90,28,48,0,16,4,11,20,1,4,4,7,20,6,2,0,8,0,2,28,0,1,5,1,0,5,5,0,0,6,8,0,22,34,15,4,12,8,5,8,0,4,5,2,8,13,7,5,0,0
MORMON,Mosiah_12,1258,52,58,19,31,5,11,3,12,31,3,15,9,8,1,7,1,3,15,4,3,11,6,0,11,3,13,8,0,0,0,0,0,0,16,10,16,9,3,7,13,25,19,3,10,3,4,10,5,4,0,4
MORMON,Mosiah_17_18,2006,59,68,33,36,4,13,1,10,34,0,4,4,7,10,6,4,1,10,8,1,24,0,0,15,0,4,3,9,2,0,7,8,4,16,10,10,4,5,3,6,5,7,1,6,1,7,6,5,5,1,3
MORMON,Mosiah_19_20,1926,83,75,37,34,1,8,5,11,31,1,3,11,7,12,8,3,0,3,1,0,12,1,2,8,0,4,1,8,1,0,8,8,3,28,20,22,11,9,5,7,1,2,5,2,4,11,20,2,1,4,3
MORMON,Moroni_8_9_mormon,2006,54,61,13,42,8,13,12,6,23,11,10,7,6,7,14,6,2,6,2,7,6,0,2,2,2,11,2,0,1,0,1,1,4,21,9,9,7,2,7,19,5,1,12,1,10,0,5,7,2,0,9
